U1,U2,Position
-4.8341913,14.120287,Young High Performers
8.026178,10.056801,Central Defenders
7.1262794,8.687276,Central Midfielders
6.4606094,7.1112547,Central Midfielders
10.607046,8.163138,Central Defenders
8.25725,9.42684,Central Defenders
10.008816,3.7617064,Attacking Midfielders
11.34979,2.8877406,Attacking Midfielders
10.666856,7.530513,Central Midfielders
7.434196,9.222211,Central Midfielders
10.088478,4.9951425,Attacking Midfielders
9.927061,5.059428,Attacking Midfielders
-5.210232,13.501453,Young High Performers
9.907989,5.725252,Defensive Midfielders / Wing Backs
11.681077,8.433709,Central Defenders
11.163855,8.779108,Central Defenders
7.714879,10.725477,Central Defenders
-5.181619,13.306319,Young High Performers
10.860365,7.3075924,Defensive Midfielders / Wing Backs
-4.4716735,12.863827,Young High Performers
-4.402498,13.182009,Young High Performers
-4.6936502,13.815031,Young High Performers
10.047194,6.6893415,Defensive Midfielders / Wing Backs
10.469845,7.1033545,Defensive Midfielders / Wing Backs
14.421011,-8.635298,Strikers - Goalscorers
6.541903,7.2892914,Central Midfielders
11.771497,8.871432,Central Defenders
9.969151,9.280248,Central Defenders
6.6546397,9.584562,Central Midfielders
6.017671,8.62135,Central Midfielders
6.1195693,8.848645,Central Midfielders
12.226985,8.054061,Central Defenders
5.8221664,9.162585,Central Midfielders
5.719784,9.566291,Central Midfielders
9.838078,2.766553,Wingers
-5.8401275,0.7265662,Goalkeepers
-5.1216908,-0.07534079,Goalkeepers
-6.145354,0.68385166,Goalkeepers
9.805752,1.3565141,Strikers
5.5752206,8.674267,Central Midfielders
11.939184,6.054896,Attacking Midfielders
7.2201233,7.1813583,Central Midfielders
-5.0643907,14.126798,Young High Performers
7.1372848,8.089967,Central Midfielders
10.549044,6.4077024,Defensive Midfielders / Wing Backs
7.367717,7.9423356,Central Midfielders
11.535122,2.9624932,Attacking Midfielders
11.810354,5.030464,Defensive Midfielders / Wing Backs
10.629501,8.272976,Defensive Midfielders / Wing Backs
11.450681,7.220288,Central Defenders
-6.1437626,2.418654,Goalkeepers
7.064863,11.019689,Central Defenders
6.7801147,10.21934,Central Defenders
6.226337,9.737381,Central Midfielders
11.715666,6.879325,Defensive Midfielders / Wing Backs
6.311395,9.368044,Central Midfielders
11.104516,9.437251,Central Defenders
11.059329,9.35949,Central Defenders
10.796709,6.425565,Defensive Midfielders / Wing Backs
7.7819285,10.203164,Central Defenders
11.100597,6.823994,Defensive Midfielders / Wing Backs
11.766691,9.108197,Central Defenders
9.64525,6.218045,Defensive Midfielders / Wing Backs
9.739073,6.368174,Defensive Midfielders / Wing Backs
12.408999,3.9904366,Attacking Midfielders
12.384897,3.948037,Attacking Midfielders
11.197696,4.974037,Defensive Midfielders / Wing Backs
11.550766,6.355772,Defensive Midfielders / Wing Backs
-5.1618724,0.34478405,Goalkeepers
-6.026054,2.1164708,Goalkeepers
-5.677333,0.3631506,Goalkeepers
6.417334,7.7796516,Central Midfielders
-5.072319,13.963944,Young High Performers
10.545383,7.588699,Central Defenders
-5.3190656,13.798778,Young High Performers
11.743281,6.738309,Defensive Midfielders / Wing Backs
10.986551,8.413864,Central Defenders
11.905799,9.110172,Central Defenders
11.120551,8.279911,Central Defenders
-5.618772,0.51396644,Goalkeepers
-6.05503,2.3480632,Goalkeepers
7.6268597,10.031847,Central Defenders
10.325535,8.662812,Defensive Midfielders / Wing Backs
7.3422127,10.561001,Central Defenders
11.397657,9.283318,Central Defenders
11.164088,4.199626,Attacking Midfielders
11.806345,5.065792,Defensive Midfielders / Wing Backs
-4.7251067,13.957321,Young High Performers
-5.329384,14.602427,Young High Performers
-6.303727,0.62475014,Goalkeepers
10.444256,1.4968865,Strikers
14.372004,-8.588796,Strikers - Goalscorers
9.154441,1.5754836,Wingers
10.592129,4.445171,Attacking Midfielders
11.673358,3.2487447,Attacking Midfielders
10.426692,3.5672312,Attacking Midfielders
10.447907,5.392721,Defensive Midfielders / Wing Backs
6.5915103,7.5235524,Central Midfielders
10.062992,3.4558926,Attacking Midfielders
6.066348,7.7417474,Central Midfielders
6.603866,7.966401,Central Midfielders
-5.208953,0.028223548,Goalkeepers
11.07443,6.8258133,Defensive Midfielders / Wing Backs
6.416979,8.54314,Central Midfielders
6.717573,8.886923,Central Midfielders
11.848889,6.506353,Defensive Midfielders / Wing Backs
9.44571,1.9930873,Wingers
